koryakov_bd_id,lang_1_K,eng_vil_name,rus_vil_name,rus_vil_name_mdg,census_1885,census_1895,census_1926,census_2010,Lat,Lon,lang_1_S,elevation
1,Russian,,Махачкала,Махачкала,,,32000,570845,,,,
3,Russian,,Петровск-Кавказский,Петровск-Кавказский,,,1552,,,,,
5,North Azerbaijani,,Дербент,Дербент,,,23097,118599,,,,
7,Russian,,Дагестанские Огни,Дагестанские Огни,,,1048,,,,,
9,Russian,,Буйнакск,Буйнакск,,,10923,58625,,,,
15,Avar,Amishta,Амишта,Амишта,122,141,135,129,4262967,46552971,Avar,148429
17,Avar,Dzhalaturi,Джалатури,Джалатури,169,190,160,82,42631847,46567028,Avar,173236
19,Avar,Tsalkita,Цалкита,Цалкита,102,97,104,108,4261798,4657339,Avar,159841
21,Avar,Amushi Bol'shoe,Амущи Большое,Амущи Большое,581,550,551,1510,4263752,464864,Avar,103343
23,Avar,Amushi Maloe,Амущи Малое,Амущи Малое,159,137,187,126,42650445,46487815,Avar,82546
25,Avar,Andykh,Андых,Андых,557,595,602,971,425119,465939,Avar,152825
27,Avar,Arakani,Аракани,Аракани,1050,1190,882,1638,42610078,46991711,Avar,85809
29,Avar,,Казакин-Бак,Казакин-Бак,,,27,,,,,
31,Avar,,Керекуб-Бак,Керекуб-Бак,,,66,,,,,
33,Avar,Urchiab,Урчиаб,Урчиаб,,,75,,42657739,47016338,Avar,126267
35,Avar,Akhalchi,Ахалчи,Ахалчи,894,843,502,734,42594957,46631744,Avar,183925
37,Avar,,Коло,Коло,,,63,,,,,
39,Avar,Verkhnie Akhalchi,Верхние Ахалчи,Верхние Ахалчи,,,139,,4259911,4663581,Avar,186281
41,Avar,Tumagari,Тумагари,Тумагари,,,104,79,4258165,4660662,Avar,186195
43,Avar,,Химаколо,Химакоро,,,45,,,,,
45,Avar,Ashil'ta,Ашильта,Ашильта,443,478,586,1982,42772446,46728853,Avar,64028
47,Avar,Baitl',Баитль,Баитль,165,176,144,202,42546452,46676472,Avar,178392
49,Avar,Chondotl',Чондотль,Чондотль,185,199,202,151,42547749,46659112,Avar,190766
51,Avar,Batlaich,Батлаич,Батлаич,772,788,770,1083,42554821,46754217,Avar,176474
53,Avar,Balakhani,Балахани,Балахани,898,904,1000,2166,4263128,4689514,Avar,88952
55,Avar,Zirani,Зирани,Зирани,154,160,188,65,4261797,4694436,Avar,54317
57,Avar,Shulatuta,Шулатута,Шулатута,56,64,89,,4263167,4685806,Avar,156541
59,Avar,Verkhniy Batlukh,Верхний Батлух,Верхний Батлух,234,239,268,455,42496276,46502217,Avar,159195
61,Avar,Nizhniy Batlukh,Нижний Батлух,Нижний Батлух,469,571,577,1332,424853,465239,Avar,145500
63,Avar,Betli,Бетли,Бетли,311,335,283,18,4272372,4673388,Avar,177097
65,Avar,Kakhabroso,Кахабросо,Кахабросо,345,341,311,796,4273896,46704697,Avar,175286
67,Avar,Butsra,Буцра,Буцра,682,675,614,1429,4258902,467677,Avar,159921
69,Avar,,разв. Шагада,разв. Шагада,263,279,185,,,,,
71,Avar,,Шого,Шого,,,52,,,,,
73,Avar,Gatsalukh,Гацалух,Гацалух,340,364,363,473,4259298,4664949,Avar,187166
75,Avar,,Гимры,Гимры,1130,1125,1156,4651,,,,
77,Avar,Genichutl',Геничутль,Геничутль,426,457,261,315,4256455,4673959,Avar,177245
79,Avar,,Итля,Итля,138,153,115,,,,,
81,Avar,Golotl',Голотль,Голотль,714,735,700,1493,42485962,46735698,Avar,80301
83,Avar,Gonokh,Гонох,Гонох,174,172,196,373,4256163,466896,Avar,170927
85,Avar,Tsada,Цада,Цада,173,189,185,190,4256694,467125,Avar,171599
87,Avar,Gortkolo,Гортколо,Гортколо,270,272,231,241,42576655,4663945,Avar,179161
89,Avar,,Ассаколо,Ассаколо,,,27,,,,,
91,Avar,Gozolokolo,Гозолоколо,Гозолоколо,153,146,167,162,42569651,4661206,Avar,193595
93,Avar,Gotsatl' Bol'shoy,Гоцатль Большой,Гоцатль Большой,1028,1089,935,2189,4251862,4688262,Avar,93389
95,Avar,Gotsatl' Malyy,Гоцатль Малый,Гоцатль Малый,,,224,581,425041,4688829,Avar,86385
97,Avar,Chalda,Чалда,Чалда,,,103,302,42538206,46920351,Avar,64671
99,Avar,Igali,Игали,Игали,1138,1135,856,2558,427181,465811,Avar,62330
101,Avar,Kunzakh,Кунзах,Кунзах,,,126,362,4274884,4666488,Avar,96319
103,Avar,,Тланхлоры,Тланхлоры,,,125,,,,,
105,Avar,Tsanatl',Цанатль,Цанатль,,,83,389,4272244,4662252,Avar,93202
107,Avar,Irganay,Ирганай,Ирганай,596,613,699,2290,42649543,46912048,Avar,57702
109,Avar,Kakhikal,Кахикал,Кахикал,105,124,116,339,42499065,46874809,Avar,103597
111,Avar,Tagada,Тагада,Тагада,156,160,185,498,42497573,46868389,Avar,116155
113,Avar,Uzdalroso,Уздалросо,Уздалросо,161,184,232,872,4248612,4685577,Avar,117656
115,Avar,Kakh,Ках,Ках,212,221,211,276,42557664,46790848,Avar,152394
117,Avar,Kuanib,Куаниб,Куаниб,287,292,320,454,42509735,46611385,Avar,154983
119,Avar,Kudutl',Кудутль,Кудутль,677,668,524,541,425783,470194,Avar,93905
121,Avar,,Могох,Могох,602,622,530,274,,,,
123,Avar,Gotsob,Гоцоб,Гоцоб,168,160,159,164,4258963,4686901,Avar,186750
125,Avar,,Кура-Курух,Кура-Курух,,,27,,,,,
127,Avar,Moksokh,Моксох,Моксох,309,309,241,220,426538,4680572,Avar,173406
129,Avar,,Могох,Могох,226,243,272,363,,,,
131,Avar,Zanata,Заната,Заната,200,202,159,198,42485146,46552771,Avar,160292
133,Avar,Mochokh,Мочох,Мочох,420,418,372,399,4263159,4661242,Avar,163851
135,Avar,Muschuli,Мушули,Мушули,300,294,331,571,42633706,46498593,Avar,102462
137,Avar,Nitab,Нитаб,Нитаб,161,164,147,235,4251925,4663256,Avar,141281
139,Avar,Datuna,Датуна,Датуна,67,80,75,179,4247357,4664364,Avar,85676
141,Avar,,Накитль,Накитль,118,130,149,162,,,,
143,Avar,Oboda,Обода,Обода,747,734,701,664,42578542,46668203,Avar,174222
145,Avar,Orota,Орота,Орота,638,632,669,1679,4265915,4653772,Avar,115051
147,Avar,Ochlo,Очло,Очло,226,221,205,572,42642518,4664532,Avar,180927
149,Avar,,Тадколо,Тадколо,99,96,94,,,,,
151,Avar,Siukh,Сиух,Сиух,763,772,661,278,425999,4654462,Karata,190766
153,Avar,Tanusi,Тануси,Тануси,569,589,511,512,4258233,4669233,Avar,193877
155,Avar,Ebuta,Эбута,Эбута,97,108,130,170,4259275,4666626,Avar,194140
157,Avar,Tlaylukh,Тлайлух,Тлайлух,163,111,209,375,426208,4652428,Avar,112020
159,Avar,,Карачитль,Карачитль,,,5,,,,,
161,Avar,Tekita,Тукита,Текита,111,111,127,165,42630886,46521832,Avar,103927
163,Avar,Tsel'mes,Цельмес,Цельмес,229,260,251,378,42623464,46538549,Avar,116496
165,Avar,Untsukul',Унцукуль,Унцукуль,2228,2089,2315,6276,427131,467875,Avar,86730
167,Avar,Orkachi,Оркачи,Оркачи,298,298,319,401,426058,4681797,Avar,183766
169,Avar,Verkhniy Aradirikh,Верхний Арадирих,Верхний Арадирих,276,260,267,495,4267099,4660372,Avar,188221
171,Avar,Nizhniy Aradirikh,Нижний Арадирих,Нижний Арадирих,156,148,161,309,4268979,46568219,Avar,175146
173,Avar,Sredniy Aradirikh,Средний Арадирих,Средний Арадирих,234,235,287,579,4268121,4658022,Avar,182871
175,Avar,Kharakhi,Харахи,Харахи,657,699,735,1199,426433,465211,Avar,116210
177,Avar,Kharachi,Харачи,Харачи,358,382,380,450,4267744,4682263,Avar,124110
179,Avar,Kharikolo,Хариколо,Хариколо,306,330,410,342,425451,4680847,Avar,153846
181,Avar,,Куди Магом.,Куди Магом.,,,8,,,,,
183,Avar,,Хундари Мархо,Хундари Мархо,,,16,,,,,
185,Avar,,Чалучикан,Чалучикан,,,12,,,,,
187,Avar,Khimakoro,Химакоро,Химакоро,183,196,161,66,42590092,46617523,Avar,180311
189,Avar,,Хиндах,Хиндах,264,1364,266,562,,,,
191,Avar,Kolo,Коло,Коло,217,191,214,538,4265769,4656607,Avar,100059
193,Avar,Khunzakh,Хунзах,Хунзах,1741,1768,1810,4246,425394,46705,Avar,164154
195,Avar,,Амитль,Амитль,,,71,,,,,
197,Avar,,Бакда,Бакда,,,37,,,,,
199,Avar,Zaib,Заиб,Заиб,,,56,226,42489364,46707472,Avar,79937
201,Avar,,Колони,Колони,,,16,,,,,
203,Avar,Khini,Хини,Хини,,,245,250,4252767,4670496,Avar,130835
205,Avar,Tsatanikh,Цатаних,Цатаних,635,603,431,863,42667793,46723937,Avar,177918
207,Avar,,Колоб,Колоб,281,286,249,242,,,,
209,Avar,Inkvalita,Инквалита,Инквалита,173,176,135,46,4269936,4668833,Avar,151920
211,Avar,Ishtiburi,Иштибури,Иштибури,194,192,196,292,42679149,46702701,Avar,164923
213,Avar,Shotota,Шотода,Шотода,229,231,250,360,4258165,4657729,Avar,192560
215,Chamalal,Agvali,Агвали,Агвали,181,183,213,2453,42541192,46121798,Chamalal,96258
217,Tindi,Aknada,Акнада,Акнада,502,503,519,120,424024828,461693204,Tindi,175612
