koryakov_bd_id,eng_vil_name,rus_vil_name,rus_vil_name_mdg,censuses.1885.people,censuses.1895.people,censuses.1926.people,censuses.2010.people,Lat,Lon,Language,Lect,Republic,Region,elevation
1,,Махачкала,Махачкала,,,32000,570845,,,,,,,
3,,Петровск-Кавказский,Петровск-Кавказский,,,1552,,,,,,,,
5,,Дербент,Дербент,,,23097,118599,,,,,,,
7,,Дагестанские Огни,Дагестанские Огни,,,1048,,,,,,,,
9,,Буйнакск,Буйнакск,,,10923,58625,,,,,,,
15,Amishta,Амишта,Амишта,122,141,135,129,42.62967,46.552971,Avar,,Daghestan,,1484.29
17,Dzhalaturi,Джалатури,Джалатури,169,190,160,82,42.631847,46.567028,Avar,,Daghestan,,1732.36
19,Tsalkita,Цалкита,Цалкита,102,97,104,108,42.61798,46.57339,Avar,,Daghestan,,1598.41
21,Amushi Bol'shoe,Амущи Большое,Амущи Большое,581,550,551,1510,42.63752,46.4864,Avar,,Daghestan,,1033.43
23,Amushi Maloe,Амущи Малое,Амущи Малое,159,137,187,126,42.650445,46.487815,Avar,,Daghestan,,825.46
25,Andykh,Андых,Андых,557,595,602,971,42.5119,46.5939,Avar,,Daghestan,,1528.25
27,Arakani,Аракани,Аракани,1050,1190,882,1638,42.610078,46.991711,Avar,,Daghestan,,858.09
29,,Казакин-Бак,Казакин-Бак,,,27,,,,,,,,
31,,Керекуб-Бак,Керекуб-Бак,,,66,,,,,,,,
33,Urchiab,Урчиаб,Урчиаб,,,75,,42.657739,47.016338,Avar,,Daghestan,,1262.67
35,Akhalchi,Ахалчи,Ахалчи,894,843,502,734,42.594957,46.631744,Avar,,Daghestan,,1839.25
37,,Коло,Коло,,,63,,,,,,,,
39,Verkhnie Akhalchi,Верхние Ахалчи,Верхние Ахалчи,,,139,,42.59911,46.63581,Avar,,Daghestan,,1862.81
41,Tumagari,Тумагари,Тумагари,,,104,79,42.58165,46.60662,Avar,,Daghestan,,1861.95
43,,Химаколо,Химакоро,,,45,,,,,,,,
45,Ashil'ta,Ашильта,Ашильта,443,478,586,1982,42.772446,46.728853,Avar,,Daghestan,,640.28
47,Baitl',Баитль,Баитль,165,176,144,202,42.546452,46.676472,Avar,,Daghestan,,1783.92
49,Chondotl',Чондотль,Чондотль,185,199,202,151,42.547749,46.659112,Avar,,Daghestan,,1907.66
51,Batlaich,Батлаич,Батлаич,772,788,770,1083,42.554821,46.754217,Avar,,Daghestan,,1764.74
53,Balakhani,Балахани,Балахани,898,904,1000,2166,42.63128,46.89514,Avar,,Daghestan,,889.52
55,Zirani,Зирани,Зирани,154,160,188,65,42.61797,46.94436,Avar,,Daghestan,,543.17
57,Shulatuta,Шулатута,Шулатута,56,64,89,,42.63167,46.85806,Avar,,Daghestan,,1565.41
59,Verkhniy Batlukh,Верхний Батлух,Верхний Батлух,234,239,268,455,42.496276,46.502217,Avar,,Daghestan,,1591.95
61,Nizhniy Batlukh,Нижний Батлух,Нижний Батлух,469,571,577,1332,42.4853,46.5239,Avar,,Daghestan,,1455
63,Betli,Бетли,Бетли,311,335,283,18,42.72372,46.73388,Avar,,Daghestan,,1770.97
65,Kakhabroso,Кахабросо,Кахабросо,345,341,311,796,42.73896,46.704697,Avar,,Daghestan,,1752.86
67,Butsra,Буцра,Буцра,682,675,614,1429,42.58902,46.7677,Avar,,Daghestan,,1599.21
69,,разв. Шагада,разв. Шагада,263,279,185,,,,,,,,
71,,Шого,Шого,,,52,,,,,,,,
73,Gatsalukh,Гацалух,Гацалух,340,364,363,473,42.59298,46.64949,Avar,,Daghestan,,1871.66
75,,Гимры,Гимры,1130,1125,1156,4651,,,,,,,
77,Genichutl',Геничутль,Геничутль,426,457,261,315,42.56455,46.73959,Avar,,Daghestan,,1772.45
79,,Итля,Итля,138,153,115,,,,,,,,
81,Golotl',Голотль,Голотль,714,735,700,1493,42.485962,46.735698,Avar,,Daghestan,,803.01
83,Gonokh,Гонох,Гонох,174,172,196,373,42.56163,46.6896,Avar,,Daghestan,,1709.27
85,Tsada,Цада,Цада,173,189,185,190,42.56694,46.7125,Avar,,Daghestan,,1715.99
87,Gortkolo,Гортколо,Гортколо,270,272,231,241,42.576655,46.63945,Avar,,Daghestan,,1791.61
89,,Ассаколо,Ассаколо,,,27,,,,,,,,
91,Gozolokolo,Гозолоколо,Гозолоколо,153,146,167,162,42.569651,46.61206,Avar,,Daghestan,,1935.95
93,Gotsatl' Bol'shoy,Гоцатль Большой,Гоцатль Большой,1028,1089,935,2189,42.51862,46.88262,Avar,,Daghestan,,933.89
95,Gotsatl' Malyy,Гоцатль Малый,Гоцатль Малый,,,224,581,42.5041,46.88829,Avar,,Daghestan,,863.85
97,Chalda,Чалда,Чалда,,,103,302,42.538206,46.920351,Avar,,Daghestan,,646.71
99,Igali,Игали,Игали,1138,1135,856,2558,42.7181,46.5811,Avar,,Daghestan,,623.3
101,Kunzakh,Кунзах,Кунзах,,,126,362,42.74884,46.66488,Avar,,Daghestan,,963.19
103,,Тланхлоры,Тланхлоры,,,125,,,,,,,,
105,Tsanatl',Цанатль,Цанатль,,,83,389,42.72244,46.62252,Avar,,Daghestan,,932.02
107,Irganay,Ирганай,Ирганай,596,613,699,2290,42.649543,46.912048,Avar,,Daghestan,,577.02
109,Kakhikal,Кахикал,Кахикал,105,124,116,339,42.499065,46.874809,Avar,,Daghestan,,1035.97
111,Tagada,Тагада,Тагада,156,160,185,498,42.497573,46.868389,Avar,,Daghestan,,1161.55
113,Uzdalroso,Уздалросо,Уздалросо,161,184,232,872,42.48612,46.85577,Avar,,Daghestan,,1176.56
115,Kakh,Ках,Ках,212,221,211,276,42.557664,46.790848,Avar,,Daghestan,,1523.94
117,Kuanib,Куаниб,Куаниб,287,292,320,454,42.509735,46.611385,Avar,,Daghestan,,1549.83
119,Kudutl',Кудутль,Кудутль,677,668,524,541,42.5783,47.0194,Avar,,Daghestan,,939.05
121,,Могох,Могох,602,622,530,274,,,,,,,
123,Gotsob,Гоцоб,Гоцоб,168,160,159,164,42.58963,46.86901,Avar,,Daghestan,,1867.5
125,,Кура-Курух,Кура-Курух,,,27,,,,,,,,
127,Moksokh,Моксох,Моксох,309,309,241,220,42.6538,46.80572,Avar,,Daghestan,,1734.06
129,,Могох,Могох,226,243,272,363,,,,,,,
131,Zanata,Заната,Заната,200,202,159,198,42.485146,46.552771,Avar,,Daghestan,,1602.92
133,Mochokh,Мочох,Мочох,420,418,372,399,42.63159,46.61242,Avar,,Daghestan,,1638.51
135,Muschuli,Мушули,Мушули,300,294,331,571,42.633706,46.498593,Avar,,Daghestan,,1024.62
137,Nitab,Нитаб,Нитаб,161,164,147,235,42.51925,46.63256,Avar,,Daghestan,,1412.81
139,Datuna,Датуна,Датуна,67,80,75,179,42.47357,46.64364,Avar,,Daghestan,,856.76
141,,Накитль,Накитль,118,130,149,162,,,,,,,
143,Oboda,Обода,Обода,747,734,701,664,42.578542,46.668203,Avar,,Daghestan,,1742.22
145,Orota,Орота,Орота,638,632,669,1679,42.65915,46.53772,Avar,,Daghestan,,1150.51
147,Ochlo,Очло,Очло,226,221,205,572,42.642518,46.64532,Avar,,Daghestan,,1809.27
149,,Тадколо,Тадколо,99,96,94,,,,,,,,
151,Siukh,Сиух,Сиух,763,772,661,278,42.5999,46.54462,Karata,,Daghestan,,1907.66
153,Tanusi,Тануси,Тануси,569,589,511,512,42.58233,46.69233,Avar,,Daghestan,,1938.77
155,Ebuta,Эбута,Эбута,97,108,130,170,42.59275,46.66626,Avar,,Daghestan,,1941.4
157,Tlaylukh,Тлайлух,Тлайлух,163,111,209,375,42.6208,46.52428,Avar,,Daghestan,,1120.2
159,,Карачитль,Карачитль,,,5,,,,,,,,
161,Tekita,Тукита,Текита,111,111,127,165,42.630886,46.521832,Avar,,Daghestan,,1039.27
163,Tsel'mes,Цельмес,Цельмес,229,260,251,378,42.623464,46.538549,Avar,,Daghestan,,1164.96
165,Untsukul',Унцукуль,Унцукуль,2228,2089,2315,6276,42.7131,46.7875,Avar,,Daghestan,,867.3
167,Orkachi,Оркачи,Оркачи,298,298,319,401,42.6058,46.81797,Avar,,Daghestan,,1837.66
169,Verkhniy Aradirikh,Верхний Арадирих,Верхний Арадирих,276,260,267,495,42.67099,46.60372,Avar,,Daghestan,,1882.21
171,Nizhniy Aradirikh,Нижний Арадирих,Нижний Арадирих,156,148,161,309,42.68979,46.568219,Avar,,Daghestan,,1751.46
173,Sredniy Aradirikh,Средний Арадирих,Средний Арадирих,234,235,287,579,42.68121,46.58022,Avar,,Daghestan,,1828.71
175,Kharakhi,Харахи,Харахи,657,699,735,1199,42.6433,46.5211,Avar,,Daghestan,,1162.1
177,Kharachi,Харачи,Харачи,358,382,380,450,42.67744,46.82263,Avar,,Daghestan,,1241.1
179,Kharikolo,Хариколо,Хариколо,306,330,410,342,42.5451,46.80847,Avar,,Daghestan,,1538.46
181,,Куди Магом.,Куди Магом.,,,8,,,,,,,,
183,,Хундари Мархо,Хундари Мархо,,,16,,,,,,,,
185,,Чалучикан,Чалучикан,,,12,,,,,,,,
187,Khimakoro,Химакоро,Химакоро,183,196,161,66,42.590092,46.617523,Avar,,Daghestan,,1803.11
189,,Хиндах,Хиндах,264,1364,266,562,,,,,,,
191,Kolo,Коло,Коло,217,191,214,538,42.65769,46.56607,Avar,,Daghestan,,1000.59
193,Khunzakh,Хунзах,Хунзах,1741,1768,1810,4246,42.5394,46.705,Avar,,Daghestan,,1641.54
195,,Амитль,Амитль,,,71,,,,,,,,
197,,Бакда,Бакда,,,37,,,,,,,,
199,Zaib,Заиб,Заиб,,,56,226,42.489364,46.707472,Avar,,Daghestan,,799.37
201,,Колони,Колони,,,16,,,,,,,,
203,Khini,Хини,Хини,,,245,250,42.52767,46.70496,Avar,,Daghestan,,1308.35
205,Tsatanikh,Цатаних,Цатаних,635,603,431,863,42.667793,46.723937,Avar,,Daghestan,,1779.18
207,,Колоб,Колоб,281,286,249,242,,,,,,,
209,Inkvalita,Инквалита,Инквалита,173,176,135,46,42.69936,46.68833,Avar,,Daghestan,,1519.2
211,Ishtiburi,Иштибури,Иштибури,194,192,196,292,42.679149,46.702701,Avar,,Daghestan,,1649.23
