yid	name	censuses.1885.people	censuses.1895.people	censuses.1926.people	censuses.2010.people
8158	2-е Отделение Совхоза				1267
481	? Бехвалутчи/Бехахутли			45	26
7216	Абдурашид				318
1949	Авадан	149	145	91	2855
7025	Аверьяновка				3532
1051	Агада			35	45
3657	Агачаул	469	305	537	1811
855	Агачкала	24		90	447
215	Агвали	181	183	213	2453
2055	Аглоби	139	145	246	2343
2359	Адага	428	418	432	162
669	Аданак			19	1464
3665	Аджидада			155	1645
7161	Аджимажагатюрт				825
7008	Адиль-Янгиюрт				3863
7190	Адильотар				1282
1539	Адукмахи			21	
3209	Азадоглы	36	42	297	1695
4739	Азильта	79	86	21	246
7156	Айбатхановское лесничество				91
8143	Аймазимахи				
657	Аймаки	663	748	884	2342
8252	Аймалабек				
1833	Аймаумахи		190	356	255
1739	Айникаб	162	195	73	103
1293	Айникабмахи	327	373	146	380
1599	Айнурбимахи		321	390	287
1541	Айсалакак		45	81	21
8017	Айтхан				379
879	Акайтала			197	688
3897	Акаро			106	173
7162	Акбулатюрт				743
4677	Акды	65	64	47	53
2295	Акка	122	124	134	599
217	Акнада	502	503	519	120
8101	Акнада				4010
7163	Аксай				8800
1287	Акуша	1988	953	2518	4700
1033	Акушали			85	51
8036	Ала				141
8110	Аладаш				1053
219	Алак	665	654	779	2759
7027	Александрийская				2439
7139	Александро-Невское				1622
7011	Алимпашаюрт				693
1385	Алиханмахи	405	395	340	831
3031	Алкадар	397	368	324	970
1691	Аллате		455	551	713
8077	Алмак				1981
3827	Алмало			43	1620
2101	Алхаджакент	2034	2039	1323	2411
923	Алчуниб			189	193
3667	Альбурикент	429	503	416	12417
1497	Амалте	153	197	166	272
1389	Аметеркмахи	725	721	441	2139
15	Амишта	122	141	135	129
3925	Амсар	341	347	309	461
8037	Амуариб				34
2353	Амузги	210	212	201	
3455	Амух	327	350	304	118
21	Амущи Большое	581	550	551	1510
23	Амущи Малое	159	137	187	126
4187	Анада	59	0	38	50
221	Ангида	471	426	517	7
8013	Анди				5590
8059	Андреевка				329
8006	Андуз				154
25	Андых	557	595	602	971
3457	Анклух	189	177	195	13
249	Ансалта	1265	1381	1373	4598
8022	Анхвала				309
567	Анхо			28	37
8170	Анцух				100
253	Анчик	571	664	813	817
873	Апши	1487	1431	1832	1655
2059	Араблинское			34	2175
8113	Арабляр				515
8183	Арада				668
2105	Арак	318	322	315	462
27	Аракани	1050	1190	882	1638
3929	Аракул	532	554	481	423
8141	Аран				367
8180	Арани				678
1631	Арассамахи	57	31	49	30
1601	Арачанамахи			65	187
257	Аргвани	914	958	974	797
659	Аркас	140	146	268	317
8198	Аркаскент				184
8179	Аркида				125
2111	Аркит	359	404	422	608
7128	Арсланбек				
3151	Арсуг	286	316	331	235
8085	Артлух				362
8116	Арусси				182
8186	Архида				337
8114	Арцалу				115
921	Арчиб	804	765	126	200
259	Арчо	326	299	406	346
3109	Арчуг	100	102	158	109
8025	Арыхкент				636
3137	Асакент	309	273	219	107
3091	Асаликент	331	318	339	322
4679	Асах	260	311	130	5
261	Ассаб	946	979	835	1640
8038	Асхабиль-Кули				8
859	Атланаул	661	557	717	2375
3299	Атрик	136	156	188	238
2267	Афна	118	122	97	193
35	Ахалчи	894	843	502	734
7106	Ахар				629
665	Ахкент	301	330	394	1248
2337	Ахмедкент	611	613	715	1026
3379	Ахниг	430	442	300	21
1297	Ахсакадамахи			44	205
8086	Ахсу				63
8088	Ахтачикан				262
8182	Ахтини				469
3931	Ахты	5935	5789	3886	13405
8125	Ачи-Су				1681
3007	Ашага-Архит	589	546	429	811
3065	Ашага-Захит	396	349	306	
2999	Ашага-Стал	1312	1269	1342	2854
3005	Ашага-Цинит	459	417	415	789
3011	Ашага-Ярак	338	342	582	1329
2993	Ашагакартас	544	502	306	192
3003	Ашагастал-Казмаляр			177	2979
3429	Ашакент			279	210
231	Ашали	263	286	138	788
3017	Ашар	669	711	614	567
45	Ашильта	443	478	586	1982
8015	Ашино				80
3471	Ашты	894	887	913	395
223	Аща	187	190	261	
9005	Аялакаб		76	0	390
1837	Аялизимахи	422	399	283	702
1839	Аямахи	302	191	290	
1491	Аяцимахи	120	114	100	122
1809	Аяцури	129	129	82	151
7000	Бабаюрт				15227
7219	Бавтугай				4767
3559	Багикла	382	361	303	86
1129	Багинуб	101	132	121	40
2123	Бажлук	247	251	284	41
47	Баитль	165	176	144	202
8250	Байкатмахи				148
7201	Байрам				446
7193	Байрамаул				2861
8149	Бакдаб				
1719	Бакни	305	307	284	251
1057	Балануб			120	115
8121	Баласма				323
53	Балахани	898	904	1000	2166
1055	Балдутль			41	11
1621	Балтамахи			198	394
1401	Балхар	1424	1437	1195	941
7164	Бамматюрт				4337
7107	Банайюрт				1033
4107	Барнаб	97	103	93	400
2211	Баршамай	1070	1040	883	2112
1059	Басар			20	13
7165	Баташюрт				3298
7196	Батаюрт				4068
51	Батлаич	772	788	770	1083
333	Батлахатли			72	3
7134	Батыр-Мурза				625
1603	Бахмахи			224	226
